module,screen,severity,primary_finding,evidence,recommendation
admin-core,AdminDashboardPage,P1,Inconsistent KPI density versus reports,frontend/src/admin/pages/AdminDashboardPage.tsx,Adopt canonical KPI tile and section spacing contract
admin-core,AdminBookingsPage,P1,Table/filter hierarchy not fully standardized,frontend/src/admin/pages/AdminBookingsPage.tsx,Use canonical data-table toolbar and empty/error states
admin-core,SchedulePage,P1,Schedule cell state semantics vary by context,frontend/src/admin/pages/SchedulePage.tsx,Map all slot states to shared semantic tokens
admin-core,AdminStaffCalendarPage,P1,Calendar visual language diverges from booking schedule grid,frontend/src/admin/pages/AdminStaffCalendarPage.tsx,Align calendar legend and status chips with schedule standards
admin-core,AdminTasksPage,P0,High-density kanban/list needs strict readability rules,frontend/src/admin/pages/AdminTasksPage.tsx,Apply canonical board spacing and priority badge semantics
admin-core,AdminReportsPage,P0,Data-heavy report views require unified hierarchy and loading/error states,frontend/src/admin/pages/AdminReportsPage.tsx,Adopt canonical report layout with sticky context bar and table standards
admin-core,AdminFinancePage,P1,Numeric emphasis and tabular scanability not uniform,frontend/src/admin/pages/AdminFinancePage.tsx,Enforce tabular numeric and finance typography preset
crm,AdminSalesPipelinePage,P0,Card/pipeline stage visuals and action affordances are inconsistent,frontend/src/admin/pages/AdminSalesPipelinePage.tsx,Use canonical pipeline card layout and stage semantics
crm,AdminPatientsPage,P1,Patient list and details density mismatch,frontend/src/admin/pages/AdminPatientsPage.tsx,Align table-to-drawer transition and detail grouping
crm,AdminRecallPage,P1,Recall status semantics not fully harmonized,frontend/src/admin/pages/AdminRecallPage.tsx,Standardize status chips and escalation colors
crm,AdminWaitlistPage,P1,Waitlist prioritization visuals compete with secondary info,frontend/src/admin/pages/AdminWaitlistPage.tsx,Increase signal-to-noise via badge hierarchy
crm,AdminRetentionPage,P1,Retention insights and controls need stronger visual hierarchy,frontend/src/admin/pages/AdminRetentionPage.tsx,Use 2-layer card hierarchy and CTA placement rules
